"Commune","Departement","Region","Code_UIC","WGS_84"
"Bellignat","Ain","Auvergne-Rhône-Alpes","743526","46.2381265, 5.6298849"
"Modane","Savoie","Auvergne-Rhône-Alpes","742007","45.193365, 6.658161"
"Landry","Savoie","Auvergne-Rhône-Alpes","741777","45.5741713, 6.7338182"
"Oyonnax","Ain","Auvergne-Rhône-Alpes","743534","46.259742, 5.653338"
"Lamure-sur-Azergues","Rhône","Auvergne-Rhône-Alpes","721860","46.0610834, 4.4921137"
"Vienne","Isère","Auvergne-Rhône-Alpes","722579","45.540285, 4.868273"
"Chaponost","Rhône","Auvergne-Rhône-Alpes","722710","45.6984889, 4.7643014"
"Lentilly","Rhône","Auvergne-Rhône-Alpes","721555","45.82163, 4.667103"
"Saint-Brice-sur-Vienne","Haute-Vienne","Nouvelle-Aquitaine","592691","45.8781476, 0.9523481"
"Bussière-Galant","Haute-Vienne","Nouvelle-Aquitaine","592741","45.6076224, 1.0261372"
"Saint-Hilaire-les-Places","Haute-Vienne","Nouvelle-Aquitaine","592733","45.6338338, 1.130859"
"Jonchère-Saint-Maurice","Haute-Vienne","Nouvelle-Aquitaine","592337","45.9944577, 1.4803853"
"Vicq-sur-Breuilh","Haute-Vienne","Nouvelle-Aquitaine","592279","45.6288007, 1.4438445"
"Porcherie","Haute-Vienne","Nouvelle-Aquitaine","592295","45.5740586, 1.5383469"
"Meymac","Corrèze","Nouvelle-Aquitaine","594085","45.5434698, 2.1393366"
"Dorat","Haute-Vienne","Nouvelle-Aquitaine","592543","46.2110908, 1.0793364"
"Corrèze","Corrèze","Nouvelle-Aquitaine","594119","45.3294801, 1.8810793"
"Ussel","Corrèze","Nouvelle-Aquitaine","594093","45.5574383, 2.3143439"
"Chaize-le-Vicomte","Vendée","Pays de la Loire","486308","46.676779, -1.2820678"
"Prin-Deyrançon","Deux-Sèvres","Nouvelle-Aquitaine","485268","46.2190177, -0.6365007"
"Taillebourg","Charente-Maritime","Nouvelle-Aquitaine","491043","45.8305696, -0.6451123"
"Sables-d'Olonne","Vendée","Pays de la Loire","486449","46.499917, -1.78105"
"Roche-sur-Yon","Vendée","Pays de la Loire","486019","46.67212, -1.435621"
"Sèvremoine","Maine-et-Loire","Pays de la Loire","486894","47.0331153, -1.1173797"
"Bords","Charente-Maritime","Nouvelle-Aquitaine","491019","45.8944625, -0.7985436"
"Cerizay","Deux-Sèvres","Nouvelle-Aquitaine","487280","46.8176878, -0.6689931"
"Bournezeau","Vendée","Pays de la Loire","486324","46.6518258, -1.1806169"
"Saint-Médard-d'Eyrans","Gironde","Nouvelle-Aquitaine","582692","44.7168571, -0.5057172"
"Rochefoucauld","Charente","Nouvelle-Aquitaine","583427","45.7401921, 0.3895946"
"Pessac","Gironde","Nouvelle-Aquitaine","581793","44.793355, -0.65965"
"Saint-Germain-du-Puy","Cher","Centre-Val de Loire","576405","47.0965233, 2.4846102"
"Verdon-sur-Mer","Gironde","Nouvelle-Aquitaine","581389","45.5492065, -1.0650925"
"Chalais","Charente","Nouvelle-Aquitaine","583690","45.2708327, 0.0435966"
"Arbanats","Gironde","Nouvelle-Aquitaine","582726","44.6743555, -0.3954517"
"Barsac","Gironde","Nouvelle-Aquitaine","582759","44.6054306, -0.3215775"
"Banyuls-sur-Mer","Pyrénées-Orientales","Occitanie","784298","42.4829582, 3.1250496"
